Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/5/14,383,10698,4226,12215,3744,73142,20475,34855,6584,6952,42400,35362,152,636,13276,2324,84686,25470,7517,6849,32620,80497,34812,1515,48390,12913,10389,,10090,462,8210,16347,1645,9032,3299,141441,5362,3392,6476,346517,25719,4851,3407,62098,2329,11835,8026,3731,16368,42995,1424062,6619,26742,,929,18142,10902,1396,688
2020/5/15,387,11092,4361,12673,2571,74959,20838,35464,6736,7223,43209,35901,152,636,13658,2351,87929,26047,7704,7212,33420,82182,35903,1565,49579,13432,10604,,10483,462,8297,16966,1712,9415,3382,142683,5500,3632,6610,348790,26355,4959,3474,63102,2427,12016,8189,3792,16696,44480,1450551,6749,27807,,931,18400,11274,1429,701
2020/5/16,388,11369,4454,13168,2561,76942,21235,36085,6871,7373,44134,36722,154,637,14038,2388,90359,26650,7884,7433,33739,83421,36984,1602,50078,14235,10754,,10799,466,8374,17494,1761,9769,3464,143548,5658,3632,6740,351527,26951,5082,3532,64136,2542,12219,8401,3887,16957,45857,1475510,6913,28668,,932,18559,11684,1443,716
2020/5/17,388,11669,4576,13666,2569,78819,21633,36703,7042,7547,44810,37147,154,637,14321,2418,92447,27275,7939,7672,34117,84933,37957,1647,50528,14968,10949,,11120,468,8374,18130,1847,10216,3556,144638,5842,3632,6810,353824,27471,5236,3606,65184,2589,12434,8658,3958,17261,47451,1500079,7067,29680,,933,18904,12185,1462,741
2020/5/18,388,11768,4758,13958,2603,80166,21962,37419,7123,7670,45585,37521,154,638,14641,2418,94182,27766,7951,7672,34432,86010,38804,1683,51138,15666,11089,,11296,468,8374,18673,1897,10339,3596,146222,5934,3632,6948,355347,27921,5307,3618,65699,2646,12674,8811,3987,17355,48395,1519125,7237,30384,,940,19021,12541,1481,754
2020/5/19,400,12077,4812,14208,2622,81828,22202,38116,7270,7869,46436,38253,154,638,15173,2454,96473,28246,8301,7915,34709,87052,39762,1712,51907,16370,11238,,11432,470,8636,19208,1927,10622,3631,147754,6091,4071,7056,356561,28446,5394,3680,66663,2710,12795,8935,4026,18004,49213,1541865,7379,31137,,940,19289,12685,1498,765
2020/5/20,400,12371,4922,14592,2453,83844,22519,38430,7434,8037,46940,38811,154,639,15289,2476,98018,28703,8352,8047,35038,87925,41545,1741,52346,17026,11388,,11701,471,8697,19239,1992,10844,3721,148729,6188,4153,7093,358223,28947,5485,3721,67311,2805,12951,9051,4085,18412,50585,1561897,7517,32136,,943,19487,12884,1496,775
2020/5/21,402,13047,5002,14935,5283,86167,22796,39017,7551,8194,47470,39775,154,640,15613,2505,100410,29270,8507,8162,35316,88970,42317,1819,52996,17666,11521,,11962,478,8764,20262,2078,11122,3868,150040,6276,4253,7295,359594,29430,5531,3794,68122,2866,13356,9173,4177,18407,51703,1588071,7708,32900,,944,19689,13409,1563,787
2020/5/22,402,13407,5456,15348,5283,88479,23179,39203,7788,8386,48671,40645,165,642,16167,2534,102683,29930,8625,8284,36490,90084,43530,1877,53494,18200,11687,,12221,479,8859,20512,2188,11420,3935,150947,6468,4253,7397,361699,30166,5677,3812,69242,2913,13571,9379,4250,18960,52946,1614185,7871,34131,,950,19833,13883,1600,800
2020/5/23,404,13667,5610,15719,5288,90696,23524,39640,7893,8529,49446,41474,165,642,16504,2595,105441,30404,8908,8422,36906,90889,44424,1948,53880,19004,11844,,12619,479,8950,22111,2267,11660,4014,152026,6620,4434,7520,363272,30794,5848,3860,70201,3030,13736,9636,4356,19391,53567,1638516,8053,34947,,952,19995,14394,1701,802
