,state_name:,county:,5/16,5/17
1788,SC,Edgefield,43,43
1789,SC,Fairfield,120,120
1790,SC,Florence,519,519
1791,SC,Georgetown,52,52
1792,SC,Greenville,1058,1058
1793,SC,Greenwood,69,69
1794,SC,Horry,293,293
1795,SC,Jasper,26,26
1796,SC,Kershaw,265,265
1797,SC,Lancaster,109,109
1798,SC,Laurens,57,57
1799,SC,Lee,158,158
1800,SC,Lexington,509,509
1801,SC,Marion,51,51
1802,SC,Marlboro,73,73
1803,SC,Newberry,31,31
1804,SC,Oconee,41,41
1805,SC,Orangeburg,112,112
1806,SC,Pickens,91,91
1807,SC,Richland,1222,1222
1808,SC,Saluda,115,115
1809,SC,Spartanburg,383,383
1810,SC,Sumter,313,313
1811,SC,Union,31,31
1812,SC,Williamsburg,178,178
1813,SC,York,290,290
1814,SD,Aurora,2,2
1815,SD,Beadle,30,30
1816,SD,Bon Homme,4,4
1817,SD,Brookings,14,14
1818,SD,Brown,194,194
1819,SD,Butte,0,0
1820,SD,Charles Mix,8,8
1821,SD,Clark,4,4
1822,SD,Clay,14,14
